iter	MultiClass
0	1.073422952
1	1.054440673
2	1.039258242
3	1.02685757
4	1.017094436
5	1.008168376
6	1.000816687
7	0.9944864442
8	0.9898209264
9	0.9853118127
10	0.9816793433
11	0.9780248239
12	0.9751033144
13	0.9725328025
14	0.9703817537
15	0.9683645854
16	0.9667311466
17	0.9649019328
18	0.9633569263
19	0.9620462252
20	0.9608430997
21	0.9597897338
22	0.9586794755
23	0.9577700296
24	0.9568038122
25	0.9560179455
26	0.9553087025
27	0.9545968283
28	0.9538116595
29	0.953028881
30	0.9524879839
31	0.951801658
32	0.9514157362
33	0.9510580517
34	0.9505760917
35	0.9501274598
36	0.9495718831
37	0.9490685114
38	0.9485880389
39	0.9481731059
40	0.9478300038
41	0.9473579707
42	0.9469915859
43	0.9466179654
44	0.9462607303
45	0.94584592
46	0.9455306554
47	0.9451353827
48	0.9447911557
49	0.9445078567
50	0.9442486523
51	0.9439741288
52	0.94372707
53	0.9435278107
54	0.9432804476
55	0.9430212348
56	0.9426028593
57	0.9423820299
58	0.9422133967
59	0.9418785528
60	0.94151902
61	0.9412323651
62	0.9409375289
63	0.940740467
64	0.9405282409
65	0.9402396978
66	0.9399884451
67	0.9398209494
68	0.939621056
69	0.9393068994
70	0.9390477573
71	0.9388016829
72	0.9386416618
73	0.9383934467
74	0.9381501987
75	0.9379035721
76	0.9377274444
77	0.9375725491
78	0.9374473797
79	0.9372439449
80	0.9370851777
81	0.936923453
82	0.9367272256
83	0.9365877471
84	0.9363841561
85	0.936298224
86	0.9361050516
87	0.9359060003
88	0.9357029947
89	0.935510817
90	0.9352981418
91	0.935194835
