iter	MultiClass_SumError	MultiClass_SumWeight
0	1131622.064	1042606.638
1	1118292.04	1042606.638
2	1108919.999	1042606.638
3	1101839.237	1042606.638
4	1094664.254	1042606.638
5	1086880.273	1042606.638
6	1081796.494	1042606.638
7	1075408.765	1042606.638
8	1071874.711	1042606.638
9	1066484.686	1042606.638
10	1062357.889	1042606.638
11	1058904.224	1042606.638
12	1055746.285	1042606.638
13	1053256.381	1042606.638
14	1051613.671	1042606.638
15	1047977.884	1042606.638
16	1046786.415	1042606.638
17	1046093.886	1042606.638
18	1044557.858	1042606.638
19	1043671.09	1042606.638
20	1041897.973	1042606.638
21	1041210.859	1042606.638
22	1041488.698	1042606.638
23	1040088.73	1042606.638
24	1039935.268	1042606.638
25	1037848.391	1042606.638
26	1038214.654	1042606.638
27	1038412.62	1042606.638
28	1038589.888	1042606.638
29	1037438.071	1042606.638
30	1036297.21	1042606.638
31	1035605.127	1042606.638
32	1035616.813	1042606.638
33	1034661.721	1042606.638
34	1035032.336	1042606.638
35	1034795.236	1042606.638
36	1034932.11	1042606.638
37	1034189.874	1042606.638
38	1033151.027	1042606.638
39	1034167.3	1042606.638
40	1032924.957	1042606.638
41	1031954.809	1042606.638
42	1031817.451	1042606.638
43	1031929.937	1042606.638
44	1031850.749	1042606.638
45	1031655.064	1042606.638
46	1032055.119	1042606.638
47	1031244.535	1042606.638
48	1030865.581	1042606.638
49	1030874.036	1042606.638
50	1031618.685	1042606.638
51	1031636.982	1042606.638
52	1031920.228	1042606.638
53	1031966.022	1042606.638
54	1032821.839	1042606.638
55	1032669.221	1042606.638
56	1032238.843	1042606.638
57	1031707.215	1042606.638
58	1031725.605	1042606.638
59	1032049.18	1042606.638
60	1032076.09	1042606.638
61	1030835.301	1042606.638
62	1031104.487	1042606.638
63	1031551.442	1042606.638
64	1031987.888	1042606.638
65	1032170.524	1042606.638
66	1032407.682	1042606.638
67	1032712.005	1042606.638
68	1032365.913	1042606.638
69	1032665.085	1042606.638
70	1032994.537	1042606.638
71	1033127.044	1042606.638
72	1032872.549	1042606.638
73	1033291.434	1042606.638
74	1033051.128	1042606.638
75	1032922.461	1042606.638
76	1032870.239	1042606.638
77	1032927.808	1042606.638
78	1032773.347	1042606.638
79	1032721.993	1042606.638
80	1032842.444	1042606.638
81	1032630.723	1042606.638
82	1032770.42	1042606.638
83	1032673.097	1042606.638
84	1032711.608	1042606.638
85	1032660.701	1042606.638
86	1032992.658	1042606.638
87	1033194.423	1042606.638
88	1033293.227	1042606.638
89	1033111.564	1042606.638
90	1032881.171	1042606.638
91	1033344.05	1042606.638
92	1033427.48	1042606.638
93	1033375.107	1042606.638
94	1033409.054	1042606.638
95	1033405.775	1042606.638
96	1033791.956	1042606.638
97	1033821.98	1042606.638
98	1033798.548	1042606.638
99	1033820.303	1042606.638
100	1033959.992	1042606.638
101	1033638.85	1042606.638
102	1033855.493	1042606.638
103	1034167.389	1042606.638
104	1034422.187	1042606.638
105	1034749.921	1042606.638
106	1034677.742	1042606.638
107	1034986.289	1042606.638
108	1035207.99	1042606.638
109	1035025.682	1042606.638
110	1034767.214	1042606.638
111	1034541.928	1042606.638
112	1034205.684	1042606.638
113	1034403.891	1042606.638
114	1034083.292	1042606.638
115	1034051.869	1042606.638
116	1033412.716	1042606.638
117	1033242.462	1042606.638
118	1033647.134	1042606.638
119	1034106.517	1042606.638
120	1034139.069	1042606.638
121	1033911.302	1042606.638
122	1033830.989	1042606.638
123	1033959.51	1042606.638
124	1034114.49	1042606.638
125	1033987.116	1042606.638
126	1034064.965	1042606.638
127	1034225.391	1042606.638
128	1034171.503	1042606.638
129	1034017.588	1042606.638
130	1034844.625	1042606.638
131	1035074.819	1042606.638
132	1035064.07	1042606.638
133	1035195.236	1042606.638
134	1035395.165	1042606.638
135	1035336.833	1042606.638
136	1035654.784	1042606.638
137	1035534.292	1042606.638
138	1035524.871	1042606.638
139	1035669.678	1042606.638
140	1035740.209	1042606.638
141	1035750.51	1042606.638
142	1035701.306	1042606.638
143	1035934.944	1042606.638
144	1036119.935	1042606.638
145	1035921.385	1042606.638
146	1035950.899	1042606.638
147	1035874.237	1042606.638
148	1035745.695	1042606.638
149	1035556.359	1042606.638
150	1035428.031	1042606.638
151	1035056.825	1042606.638
152	1035059.171	1042606.638
153	1034884.49	1042606.638
154	1034803.734	1042606.638
155	1034445.871	1042606.638
156	1034473.239	1042606.638
157	1034372.187	1042606.638
158	1034155.178	1042606.638
159	1033935.588	1042606.638
160	1033626.703	1042606.638
161	1033766.582	1042606.638
162	1034039.771	1042606.638
163	1034148.145	1042606.638
164	1033883.277	1042606.638
165	1033918.451	1042606.638
166	1033702.257	1042606.638
167	1033732.007	1042606.638
168	1033433.998	1042606.638
169	1033376.405	1042606.638
170	1033252.81	1042606.638
171	1033144.794	1042606.638
172	1033093.584	1042606.638
173	1033170.639	1042606.638
174	1033267.399	1042606.638
175	1033409.663	1042606.638
176	1033194.436	1042606.638
177	1033314.368	1042606.638
178	1033212.954	1042606.638
179	1033290.379	1042606.638
180	1033484.941	1042606.638
181	1033272.823	1042606.638
182	1033150.96	1042606.638
183	1033139.158	1042606.638
