iter	Passed	Remaining
0	138	277025
1	299	299152
2	434	289098
3	567	283431
4	701	280039
5	828	275398
6	974	277536
7	1113	277333
8	1238	274085
9	1363	271270
10	1494	270254
11	1634	270752
12	1775	271405
13	1920	272501
14	2037	269600
15	2174	269629
16	2307	269140
17	2428	267448
18	2580	269068
19	2695	266818
20	2859	269476
21	2994	269260
22	3126	268766
23	3282	270223
24	3427	270768
25	3560	270360
26	3700	270405
27	3830	269750
28	3979	270470
29	4115	270244
30	4255	270277
31	4368	268666
32	4473	266634
33	4591	265477
34	4713	264608
35	4845	264367
36	4965	263428
37	5091	262878
38	5228	262910
39	5374	263352
40	5518	263700
41	5642	263029
42	5789	263486
43	5929	263589
44	6054	263020
45	6196	263220
46	6323	262762
47	6470	263142
48	6605	263026
49	6751	263299
50	6901	263761
51	7053	264227
52	7162	263130
53	7295	262919
54	7399	261678
55	7536	261631
56	7681	261845
57	7805	261336
58	7956	261741
59	8090	261577
60	8215	261155
61	8360	261329
62	8510	261673
63	8636	261245
64	8771	261110
65	8901	260854
66	9079	261942
67	9237	262443
68	9360	261947
69	9492	261723
70	9619	261342
71	9740	260817
72	9849	260001
73	9978	259707
74	10097	259165
75	10228	258945
76	10355	258615
77	10501	258756
78	10625	258363
79	10744	257862
80	10875	257666
81	11001	257338
82	11143	257383
83	11280	257310
84	11405	256951
85	11520	256404
86	11623	255586
87	11764	255614
88	11901	255551
89	12039	255498
90	12183	255584
91	12322	255555
92	12457	255436
93	12602	255536
94	12738	255437
95	12859	255053
96	12994	254933
97	13113	254517
98	13223	253917
99	13364	253917
100	13500	253837
101	13618	253405
102	13747	253197
103	13886	253153
104	14017	252979
105	14176	253307
106	14307	253119
107	14416	252550
108	14536	252189
109	14673	252114
110	14808	252018
111	14946	251954
112	15085	251910
113	15228	251945
114	15352	251644
115	15472	251294
116	15603	251129
117	15718	250701
118	15876	250958
119	16027	251101
120	16170	251111
121	16312	251098
122	16442	250915
123	16573	250741
124	16705	250582
125	16814	250079
126	16930	249690
127	17065	249580
128	17179	249172
129	17325	249217
130	17438	248792
131	17565	248581
132	17707	248574
133	17840	248441
134	17975	248323
135	18091	247964
136	18244	248102
137	18387	248100
138	18540	248223
139	18646	247738
140	18762	247371
141	18914	247490
142	19038	247237
143	19194	247395
144	19332	247326
145	19466	247196
146	19610	247193
147	19735	246959
148	19864	246779
149	19983	246463
150	20121	246385
151	20246	246155
152	20373	245944
153	20489	245606
154	20598	245186
155	20721	244936
156	20843	244679
157	20988	244691
158	21121	244554
159	21254	244423
160	21399	244428
161	21535	244339
162	21675	244282
163	21795	244007
164	21937	243968
165	22055	243671
166	22188	243537
167	22316	243355
168	22465	243401
169	22595	243231
170	22720	243019
171	22858	242942
172	22977	242663
173	23112	242550
174	23242	242382
175	23362	242124
176	23469	241719
177	23614	241720
178	23763	241748
179	23912	241782
180	24023	241430
181	24192	241658
182	24331	241582
183	24458	241394
184	24587	241222
185	24701	240904
186	24851	240936
187	24992	240880
188	25145	240946
189	25262	240658
190	25372	240311
191	25514	240261
192	25642	240081
193	25761	239818
194	25903	239772
195	26020	239493
196	26165	239478
197	26304	239400
198	26430	239204
199	26563	239069
200	26715	239106
201	26830	238818
202	26968	238735
203	27153	239060
204	27279	238866
205	27422	238813
206	27579	238892
207	27734	238942
208	27877	238889
209	28041	239018
210	28141	238600
211	28256	238317
212	28378	238088
213	28493	237801
214	28607	237510
215	28752	237475
216	28908	237526
217	29058	237533
218	29177	237286
219	29300	237064
220	29421	236834
221	29533	236531
222	29684	236544
223	29809	236347
224	29949	236265
225	30095	236240
226	30240	236197
227	30415	236383
228	30573	236440
229	30709	236330
230	30878	236464
231	31050	236624
232	31229	236832
233	31373	236776
234	31500	236589
235	31661	236658
236	31829	236770
237	32011	236989
238	32139	236807
239	32283	236744
240	32416	236600
241	32583	236698
242	32739	236722
243	32894	236734
244	33027	236587
245	33181	236587
246	33335	236590
247	33507	236715
248	33646	236603
249	33803	236626
250	33917	236344
251	34079	236390
252	34215	236263
253	34372	236276
254	34503	236109
255	34640	235987
256	34768	235803
257	34934	235872
258	35088	235867
259	35220	235707
260	35330	235399
261	35492	235443
262	35682	235670
263	35795	235380
264	35921	235182
265	36043	234963
266	36152	234651
267	36287	234513
268	36445	234527
269	36563	234277
270	36721	234286
271	36875	234268
272	36996	234040
